area_id,employed
211041273,13
211051274,16
211051275,6
211051276,18
211051277,3
211051278,22
211051281,34
211051282,13
211051283,17
211051284,3
211051285,6
211051286,10
212011288,8
212011289,6
212011290,4
212011291,9
212011292,15
212021293,23
212021294,22
212021295,10
212021296,17
212021298,21
212021299,6
212031300,19
212031302,10
212031303,4
212031304,8
212031305,22
212031306,17
212031307,13
212031308,3
212041309,6
212041310,9
212041311,8
212041312,9
212041313,9
212041314,14
212041315,12
212041316,6
212041317,7
212041318,3
212051319,22
212051320,6
212051321,39
212051322,22
212051323,14
212051324,17
212051325,13
212051326,16
212051327,25
213011328,6
213011330,6
213011331,6
213011332,6
213011333,6
213011335,4
213011336,7
213011337,4
213011339,10
213011340,22
213021341,9
213021342,4
213021343,12
213021344,24
213021345,4
213021346,27
213031347,24
213031348,22
213031349,6
213031350,10
213031351,10
213031352,34
213041353,14
213041354,20
213041355,15
213041356,18
213041357,8
213041358,12
213041360,3
213051361,6
213051362,13
213051363,6
213051364,54
213051365,19
213051366,6
213051367,22
213051368,11
213051369,18
214011370,16
214011371,4
214011372,9
214011373,14
214011374,19
214011375,17
214011376,15
214021377,6
214021378,7
214021379,31
214021380,18
214021381,28
214021382,21
214021383,18
214021384,8
214021385,25
215011387,3
215011388,6
215011390,3
215011391,3
215011392,9
215011393,9
215021395,139
215021396,172
215021397,739
215021398,23
215021399,87
215031400,5
215031401,237
215031402,24
215031403,78
215031404,130
215031405,95
216011406,751
216011407,77
216011408,93
216011409,40
216011410,18
216021411,160
216021412,102
216021413,101
216021414,617.9999999999999
216031415,4
216031416,34
216031417,27
216031418,6
216031419,7
217011420,8
217011421,19
217011422,6
217011423,10
217021425,3
217021426,4
217021427,3
217021428,6
217021429,9
217021430,12
217021431,6
217021432,3
217021433,3
299999499,45
301011001,24
301011002,10
301011003,32
301011004,13
301011005,9
301011006,15
301021007,29
301021008,15
301021009,38
301021010,18
301021011,6
301021012,23
301021013,25
301031015,14
301031016,18
301031017,10
301031018,10
301031019,22
301031020,28
301031021,18
302011022,15
302011023,6
302011024,18
302011025,9
302011026,15
302021027,19
302021028,7
302021029,9
302021030,6
302021031,37
302021032,15
302021033,13
302021034,23
302031035,6
302031036,6
302031038,10
302031039,9
302031040,21
302041041,17
302041042,9
302041043,7
302041044,3
302041045,9
302041046,9
303011047,13
303011048,6
303011049,10
303011050,6
303011051,36
303021052,23
303021053,31
303021054,13
303021055,16
303021056,15
303021057,6
303021058,7
303021059,9
303031060,16
303031061,4
303031062,7
303031063,18
303031064,6
303031065,3
303031066,6
303041068,16
303041069,6
303041070,12
303041071,24
303051072,10
303051073,23
303051074,3
303051075,24
303051076,7
303061077,8
303061078,12
303061079,5.999999999999999
303061080,15
304011081,6
304011082,19
304011083,3
304011084,15
304011085,19
304021086,7
304021087,15
304021088,25
304021089,6
304021090,19
304021091,14
304031092,18
304031093,3
304031094,22
304031095,4
304031096,24
304031097,12
304041098,28
304041100,9
304041101,14
304041103,23
304041104,6
305011105,57
305011106,10
305011107,11
305011108,33
305011109,34
305011110,6
305011111,25
305011112,12
305021113,7
305021114,21
305021115,3
305021116,22
305021117,47
305021118,39
305031119,6
305031120,13
305031121,20
305031122,16
305031123,9
305031124,18
305031125,16
305031126,7
305031127,15
305031128,34
305031129,12
305031130,11.000000000000002
305031131,26
305041132,25
305041133,17
305041134,14
305041135,21
305041136,30
305041137,23
306011138,16
306011139,32
306011141,13
306011142,25
306011143,9
306021144,12
306021145,31
306021146,13
306021147,3
306021148,6
306021149,9
306021151,12
306021152,3
306021153,7
306021154,12
306021155,3
306021156,20
306021157,6
306031158,3
306031159,19
306031160,9
306031161,6
306041164,18
306041165,15
306051166,3
306051167,4
306051168,6
306051169,6
306051170,3
307011171,49
307011172,4
307011173,147
307011174,35
307011175,10
307011176,5
307011177,12
307011178,12
307021179,7
307021180,12
307021181,3
307021182,9
307021183,3
307031184,7
307031185,14
307031186,14
307031187,17
307031188,64
307031189,16
308011190,3
308011191,15
308011192,21
308021193,10
308021194,6
308021195,6
308021196,6.000000000000001
308021198,3
308021199,3
308021200,6
308021201,7
308021204,4
308031205,4
308031207,3
308031208,12
308031209,4
308031210,8
308031211,3
308031213,15
308031214,6
308031216,4
308031223,18
309011224,43
309011225,149
309011226,224
309011227,136
309011228,140
309011229,60
309021230,519
309021231,635
309021232,286
309021233,362
309021234,421.99999999999994
309031235,35
309031236,36
309031237,32
309031238,68
309031239,62.99999999999999
309031240,34
309041241,34
309041242,62
309051243,186
309051244,257
309051245,157
309061246,98
309061247,36
309061248,110
309061249,110
309061250,59
309071251,41
309071252,65
309071253,73
309071254,12
309071255,47
309071256,67
309071257,17
309071258,129
309081259,33
309081260,58
309081261,230
309081262,182
309091263,47
309091264,32
309091265,29
309091266,132
309101267,43
309101268,39
309101269,39
309101270,173
310011271,3
310011272,7
310011273,39
310011274,6
310011275,3
310021277,9
310021280,18
310021281,9
310021282,31
310031283,12
310031284,9
310031285,13
310031286,9
310031287,20
310031288,6
310031289,13
310031290,9
310031291,5.999999999999999
310031292,12
310031293,24
310031294,3
310041296,8
310041297,3
310041300,6
310041302,29
310041303,4
310041304,39
311011305,15
311021306,12
311021307,9
311021308,15
311021309,16
311021310,9
311031311,6
311031313,3
311031314,18
311031316,5.999999999999999
311031317,17
311031318,3
311031319,13
311041320,10
311041321,42
311041322,12
311051323,12
311051324,24
311051325,21
311051326,12
311051327,6
311051328,6
311061329,12
311061330,6
311061331,5
311061332,9
311061333,12
311061334,26
311061335,6
311061336,6
312011337,9
312011338,7
312011340,6
312011341,6
312021342,9
312021343,9
312021344,12
312021346,3
312021347,3
312021348,15
312021350,3
312021351,9
312021352,18
312021353,14
312021354,6
312021355,3
312021357,4
312031359,44
312031361,6
313011362,34
313011363,32
313021364,6
313021365,51.000000000000014
313021366,13
313021367,14
313021368,16
313031370,9
313031371,16
313041372,10
313041373,26
313041374,3
313041375,25
313041376,3
313051377,15
313051378,27
313051379,9
313051380,24
313051381,29
314011382,12
314011383,20
314011384,3
314011385,3
314011386,10
314011387,20
314021388,27
314021389,17
314021390,45
314031391,9
314031392,3
314031393,18
314031394,15
315011396,6
315011397,3
315011400,3
315011402,3
315011403,5
315021404,4
315021405,12
315021406,10
315021407,3
315031408,3
315031409,6
315031411,12
315031412,4
316011413,35
316011414,48
316011415,27
316011416,8
316021417,6
316021418,14
316021419,6
316021420,31
316021421,28
316021422,25
316021423,22
316021424,6
